umap_1,umap_2,OmiqFilter
-7.3393,4.4299,Non-Plasmablasts
-6.5737,4.135,Non-Plasmablasts
-4.9301,5.1417,Non-Plasmablasts
-7.7833,2.9357,Non-Plasmablasts
3.0866,-7.301,CD8/Tem
-3.2538,-8.1907,NK cells
-5.3,6.9034,Non-Plasmablasts
3.8191,-12.34,CD8/Tnaive/Tn
-3.1512,-5.6449,NK cells
-10.767,-3.6545,Neutrophils
-6.793,1.4959,Non-Plasmablasts
-5.1607,-2.3921,Monocytes
7.9191,0.80785,CD4/Tem
-3.2627,-8.2457,NK cells
6.924,0.41842,CD4/Tcm
2.4211,-7.6445,CD8/Tem
10.397,4.4501,CD4/Tem
2.7721,-8.3779,CD8/Temra
-8.6642,6.6281,Non-Plasmablasts
4.2356,0.46346,CD4/Tem
-4.5892,-8.6135,NK cells
-5.6831,7.5893,Non-Plasmablasts
-8.2235,4.3601,Non-Plasmablasts
8.6584,0.87358,CD4/Tem
-6.5152,3.0029,Non-Plasmablasts
-7.5959,4.8276,Non-Plasmablasts
9.2365,4.401,CD4/Tcm
-10.975,-2.9249,Neutrophils
3.9355,2.7666,CD4/Tcm
-6.7347,6.7648,Non-Plasmablasts
-2.434,-6.3317,NK cells
-3.0018,-1.5278,Monocytes
-5.1064,4.5717,Non-Plasmablasts
-9.1805,-6.3538,Neutrophils
3.5845,-7.6367,CD8/Tem
4.2791,2.6435,CD4/Tcm
-7.7293,5.7295,Non-Plasmablasts
-4.604,-1.4247,Non-Plasmablasts
-6.0518,6.2384,Non-Plasmablasts
-3.9427,6.4665,Non-Plasmablasts
-8.0401,7.5323,Non-Plasmablasts
3.3705,-12.898,CD8/Tnaive/Tn
-2.7775,-1.7568,Monocytes
5.3403,1.0783,CD4/Tem
-5.5601,6.4832,Non-Plasmablasts
-8.3396,7.5937,Non-Plasmablasts
-2.8904,-7.3837,Immature granulocytes
-3.0978,-9.1946,NK cells
-6.7405,8.3053,Non-Plasmablasts
3.2973,-9.2776,CD8/Temra
-3.7289,6.289,Non-Plasmablasts
-5.4685,-1.9972,Monocytes
-3.7,-7.7354,NK cells
-4.1382,-8.3287,NK cells
-4.3185,-9.2468,NK cells
4.9272,0.0069283,CD4/Tem
4.564,2.0567,CD4/Tcm
-6.4936,5.6509,Non-Plasmablasts
4.6841,1.2759,CD4/Tem
2.3019,-7.818,CD8/Temra
5.0728,2.7641,CD4/Tcm
-3.6872,-8.4164,NK cells
-3.9325,7.1039,Non-Plasmablasts
-3.6913,-9.2572,NK cells
5.2639,-6.1769,CD8/Tem
-4.4397,6.1653,Non-Plasmablasts
-6.2475,6.7699,Non-Plasmablasts
2.7548,-12.659,CD8/Tnaive/Tn
5.1444,-6.861,CD8/Tem
5.7742,3.2177,CD4/Tcm
-5.2007,-8.2376,NK cells
-4.4762,-8.1557,NK cells
-6.5852,3.759,Non-Plasmablasts
3.592,-11.952,CD8/Tcm
-10.465,-3.3704,Neutrophils
-8.2088,7.5351,Non-Plasmablasts
-2.4782,0.57151,Plasmablasts
-7.3115,7.1162,Non-Plasmablasts
-6.8209,7.5626,Non-Plasmablasts
2.454,-7.8069,CD8/Temra
-4.3014,6.8986,Non-Plasmablasts
-1.8615,1.5744,Plasmablasts
-5.8842,4.4614,Non-Plasmablasts
3.8218,2.8585,CD4/Tcm
-3.6759,-9.3959,NK cells
-2.7077,-5.9719,Immature granulocytes
-7.4608,3.1654,Non-Plasmablasts
5.8702,6.3977,CD4/Tnaive/Tn
2.2546,-8.2822,CD8/Temra
-0.96797,-1.01,CD8/Tnaive/Tn-like
9.8557,3.4426,CD4/Tcm
-5.9555,5.5222,Non-Plasmablasts
-7.0557,2.1352,Non-Plasmablasts
4.2832,0.33673,CD4/Tem
-10.56,-6.2881,Neutrophils
4.1134,-6.9076,CD8/Tem
-4.4071,-7.7442,NK cells
7.3399,1.1243,CD4/Tcm
-5.5757,3.874,Non-Plasmablasts
-4.9696,7.7673,Non-Plasmablasts
-4.1882,6.7221,Non-Plasmablasts
-1.7501,1.5973,Plasmablasts
2.2494,-8.3463,CD8/Temra
-4.1483,7.0048,Non-Plasmablasts
-5.5342,-2.2869,Monocytes
-5.8149,5.4567,Non-Plasmablasts
3.1845,-8.6265,CD8/Temra
-6.1277,7.0426,Non-Plasmablasts
-4.7609,-8.6975,NK cells
10.239,4.398,CD4/Tem
4.0042,-8.3313,CD8/Tem
-7.3627,5.6325,Non-Plasmablasts
-2.4308,-9.0587,NK cells
8.4893,6.16,CD4/Tnaive/Tn-like
-9.1359,-1.5536,Neutrophils
-2.3192,-8.6906,NK cells
-1.7795,1.304,Plasmablasts
5.2046,1.3627,CD4/Tem
8.8092,1.3299,CD4/Tem
-6.8347,3.204,Non-Plasmablasts
5.523,-6.0193,CD8/Tem
-7.9665,5.0335,Non-Plasmablasts
8.9885,5.7252,CD4/Tcm
-3.7369,-6.6661,NK cells
5.8172,7.8289,CD4/Tnaive/Tn
-10.459,-4.5969,Neutrophils
-7.3184,6.444,Non-Plasmablasts
-6.9132,2.1201,Non-Plasmablasts
5.7394,7.2551,CD4/Tcm
2.7679,3.5808,Neutrophils
-2.709,-2.207,NK cells
-2.8956,-9.3391,NK cells
3.5159,-11.294,CD8/Tnaive/Tn
5.8598,0.13565,CD4/Tem
3.694,-11.106,CD8/Tnaive/Tn
6.9457,0.74997,CD4/Tcm
-10.288,-4.1574,Neutrophils
-9.0493,-5.6326,Neutrophils
-10.58,-5.3811,Neutrophils
4.5885,3.4925,CD4/Tcm
-7.3242,7.2649,Non-Plasmablasts
4.5383,-0.037433,CD4/Tem
-5.7095,6.639,Non-Plasmablasts
-7.522,5.1293,Non-Plasmablasts
-7.8698,6.6727,Non-Plasmablasts
-4.0772,-9.2574,NK cells
-8.5167,6.2655,Non-Plasmablasts
-10.706,-5.437,Neutrophils
-1.8805,-6.2458,NK cells
6.1416,5.9017,CD4/Tcm
-3.0279,-1.6605,CD4/Tcm
3.788,-11.881,CD8/Tnaive/Tn
7.471,0.20343,CD4/Tcm
9.7722,4.3192,CD4/Tem
-6.8208,2.7698,Non-Plasmablasts
-4.5417,3.319,Non-Plasmablasts
-8.7763,3.5121,Non-Plasmablasts
-2.3806,0.26362,Plasmablasts
-7.8493,4.0889,Non-Plasmablasts
-8.0996,3.1428,Non-Plasmablasts
-2.3178,-8.7078,NK cells
4.9837,2.2265,CD4/Tcm
-4.9722,-8.3832,NK cells
9.1095,1.3206,CD4/Tem
-5.4732,6.9594,Non-Plasmablasts
-6.6671,4.9637,Non-Plasmablasts
-9.4432,-4.3674,Neutrophils
-9.3258,-4.988,Neutrophils
-4.4731,7.2236,Non-Plasmablasts
-4.4437,-9.0103,NK cells
-6.1886,3.141,Non-Plasmablasts
-5.7576,6.2529,Non-Plasmablasts
5.2348,-6.7479,CD8/Tem
6.9328,4.4048,CD4/Tcm
-9.5119,-4.6445,Neutrophils
-3.875,-2.201,Monocytes
-5.1442,-8.4679,NK cells
-7.7157,5.4796,Non-Plasmablasts
-7.0898,2.3587,Non-Plasmablasts
-4.7672,-2.6238,Monocytes
-1.4531,1.6013,Plasmablasts
3.8642,3.2593,CD4/Tcm
