gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
NQO1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NTRK2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NXPH4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OR7A5,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OR7E36P,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
OVOL2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PALLD,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PCDHB12,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PCSK1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PDZK1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PDZRN4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PLCB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PLK4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PMF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PPP1R13L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PRO2964,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PTPN21,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
PTPRJ,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RAI14,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RASGRF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RASSF9,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RBMS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RDX,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RIMS1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RPRM,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RPS16,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
RUNX2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SCGB1D1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SCGN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SEMA6D,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SEZ6L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLAMF1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLC6A6,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLCO1B3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SLCO1C1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNAI2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNAP91,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNRPN,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SNTG2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SORBS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SOX30,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SPAG11B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SPC25,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STAG3L4,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STMN3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
STS,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
SVIL,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
